name,season,age,team_id,pos,g,gs,mp_per_g,fg_pct,fg3_pct,fg2_pct,efg_pct,ft_pct,orb_per_g,drb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,height,weight
Lou Amundson,2014.0,32.0,CLE,PF,12.0,0.0,6.6,0.333,0.0,0.333,0.333,0.6,0.4,1.3,0.4,0.1,0.0,0.4,0.9,0.9,81,220.0
Lou Amundson,2014.0,32.0,NYK,PF,41.0,35.0,20.9,0.432,0.0,0.434,0.432,0.463,2.2,3.9,1.6,0.5,1.3,1.4,2.8,6.0,81,220.0
Lou Amundson,2015.0,33.0,NYK,PF,29.0,0.0,7.0,0.358,0.0,0.358,0.358,0.519,0.8,0.9,0.4,0.2,0.2,0.5,1.5,1.8,81,220.0
Chris Andersen,2008.0,30.0,DEN,C,71.0,1.0,20.6,0.548,0.2,0.56,0.551,0.718,2.3,3.9,0.4,0.6,2.5,1.0,2.5,6.4,82,245.0
Chris Andersen,2009.0,31.0,DEN,PF,76.0,0.0,22.3,0.566,0.0,0.573,0.566,0.695,1.9,4.4,0.4,0.6,1.9,0.8,2.3,5.9,82,245.0
Chris Andersen,2010.0,32.0,DEN,C,45.0,0.0,16.3,0.599,0.0,0.603,0.599,0.637,1.7,3.2,0.4,0.5,1.3,0.6,1.8,5.6,82,245.0
Chris Andersen,2011.0,33.0,DEN,C,32.0,1.0,15.2,0.546,0.0,0.546,0.546,0.61,1.5,3.1,0.2,0.6,1.4,0.5,1.6,5.3,82,245.0
Chris Andersen,2012.0,34.0,MIA,C,42.0,0.0,14.9,0.577,0.667,0.575,0.585,0.677,1.4,2.7,0.4,0.4,1.0,0.6,2.1,4.9,82,245.0
Chris Andersen,2013.0,35.0,MIA,C,72.0,0.0,19.4,0.644,0.25,0.662,0.649,0.71,1.8,3.5,0.3,0.4,1.3,0.7,2.3,6.6,82,245.0
Chris Andersen,2014.0,36.0,MIA,C,60.0,20.0,18.9,0.58,0.308,0.598,0.589,0.667,1.3,3.7,0.7,0.4,1.0,0.7,1.5,5.3,82,245.0
Chris Andersen,2015.0,37.0,MIA,C,7.0,1.0,5.1,0.4,0.4,0.4,0.5,0.75,0.4,0.9,0.4,0.1,0.4,0.3,0.6,1.9,82,245.0
Chris Andersen,2015.0,37.0,MEM,C,20.0,14.0,18.3,0.548,0.222,0.604,0.565,0.688,1.7,2.8,0.5,0.7,0.5,0.4,1.3,4.6,82,245.0
Chris Andersen,2016.0,38.0,CLE,C,12.0,0.0,9.5,0.409,0.0,0.474,0.409,0.714,0.8,1.8,0.4,0.4,0.6,0.4,1.7,2.3,82,245.0
